"",BBEX3.D.TRY.EUR.BB.AC.000,BBEX3.D.TRY.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = TRY ... / Turkey / from January 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 January 2005: TRL 1,000,000 = TRY 1. Up to the end of 2004, see BBEX3:D:TRL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,TRY,
unit multiplier,One,
last update,2025-01-31 16:00:08,
2012-07-22,.,No value available
2012-07-23,2.2043,
2012-07-24,2.2105,
2012-07-25,2.2140,
2012-07-26,2.2317,
2012-07-27,2.2386,
2012-07-28,.,No value available
2012-07-29,.,No value available
2012-07-30,2.2110,
2012-07-31,2.1990,
2012-08-01,2.2112,
2012-08-02,2.2147,
2012-08-03,2.1897,
2012-08-04,.,No value available
2012-08-05,.,No value available
2012-08-06,2.2035,
2012-08-07,2.2142,
2012-08-08,2.2094,
2012-08-09,2.1959,
2012-08-10,2.1942,
2012-08-11,.,No value available
2012-08-12,.,No value available
2012-08-13,2.2099,
2012-08-14,2.2147,
2012-08-15,2.2137,
2012-08-16,2.2088,
2012-08-17,2.2247,
2012-08-18,.,No value available
2012-08-19,.,No value available
2012-08-20,2.2161,
2012-08-21,2.2334,
2012-08-22,2.2360,
2012-08-23,2.2520,
2012-08-24,2.2508,
2012-08-25,.,No value available
2012-08-26,.,No value available
2012-08-27,2.2555,
2012-08-28,2.2595,
2012-08-29,2.2768,
2012-08-30,2.2921,
2012-08-31,2.2921,
2012-09-01,.,No value available
2012-09-02,.,No value available
2012-09-03,2.2878,
2012-09-04,2.2881,
2012-09-05,2.2905,
2012-09-06,2.2951,
2012-09-07,2.2918,
2012-09-08,.,No value available
2012-09-09,.,No value available
2012-09-10,2.3025,
2012-09-11,2.3065,
2012-09-12,2.3284,
2012-09-13,2.3386,
2012-09-14,2.3501,
2012-09-15,.,No value available
2012-09-16,.,No value available
2012-09-17,2.3542,
2012-09-18,2.3486,
2012-09-19,2.3323,
2012-09-20,2.3335,
2012-09-21,2.3314,
2012-09-22,.,No value available
2012-09-23,.,No value available
2012-09-24,2.3259,
2012-09-25,2.3194,
2012-09-26,2.3053,
2012-09-27,2.3038,
2012-09-28,2.3203,
2012-09-29,.,No value available
2012-09-30,.,No value available
2012-10-01,2.3117,
2012-10-02,2.3170,
2012-10-03,2.3127,
2012-10-04,2.3386,
2012-10-05,2.3375,
2012-10-06,.,No value available
2012-10-07,.,No value available
2012-10-08,2.3494,
2012-10-09,2.3490,
2012-10-10,2.3375,
2012-10-11,2.3407,
2012-10-12,2.3437,
2012-10-13,.,No value available
2012-10-14,.,No value available
2012-10-15,2.3463,
2012-10-16,2.3585,
2012-10-17,2.3629,
2012-10-18,2.3570,
2012-10-19,2.3445,
2012-10-20,.,No value available
2012-10-21,.,No value available
2012-10-22,2.3449,
2012-10-23,2.3437,
2012-10-24,2.3365,
2012-10-25,2.3369,
2012-10-26,2.3288,
2012-10-27,.,No value available
2012-10-28,.,No value available
2012-10-29,2.3237,
2012-10-30,2.3307,
2012-10-31,2.3312,
2012-11-01,2.3251,
2012-11-02,2.2975,
2012-11-03,.,No value available
2012-11-04,.,No value available
2012-11-05,2.2793,
2012-11-06,2.2741,
2012-11-07,2.2713,
2012-11-08,2.2730,
2012-11-09,2.2760,
2012-11-10,.,No value available
2012-11-11,.,No value available
2012-11-12,2.2900,
2012-11-13,2.2885,
2012-11-14,2.2965,
2012-11-15,2.2982,
2012-11-16,2.2944,
2012-11-17,.,No value available
2012-11-18,.,No value available
2012-11-19,2.3007,
2012-11-20,2.3016,
2012-11-21,2.3097,
2012-11-22,2.3194,
2012-11-23,2.3201,
2012-11-24,.,No value available
2012-11-25,.,No value available
2012-11-26,2.3270,
2012-11-27,2.3240,
2012-11-28,2.3101,
2012-11-29,2.3241,
2012-11-30,2.3213,
2012-12-01,.,No value available
2012-12-02,.,No value available
2012-12-03,2.3329,
2012-12-04,2.3367,
2012-12-05,2.3350,
2012-12-06,2.3388,
2012-12-07,2.3118,
2012-12-08,.,No value available
2012-12-09,.,No value available
2012-12-10,2.3167,
2012-12-11,2.3173,
2012-12-12,2.3198,
2012-12-13,2.3280,
2012-12-14,2.3306,
2012-12-15,.,No value available
2012-12-16,.,No value available
2012-12-17,2.3472,
2012-12-18,2.3476,
2012-12-19,2.3682,
2012-12-20,2.3670,
2012-12-21,2.3709,
2012-12-22,.,No value available
2012-12-23,.,No value available
2012-12-24,2.3769,
2012-12-25,.,No value available
2012-12-26,.,No value available
2012-12-27,2.3757,
2012-12-28,2.3584,
2012-12-29,.,No value available
2012-12-30,.,No value available
2012-12-31,2.3551,
2013-01-01,.,No value available
2013-01-02,2.3594,
2013-01-03,2.3354,
2013-01-04,2.3287,
2013-01-05,.,No value available
2013-01-06,.,No value available
2013-01-07,2.3239,
2013-01-08,2.3281,
2013-01-09,2.3212,
2013-01-10,2.3275,
2013-01-11,2.3489,
2013-01-12,.,No value available
2013-01-13,.,No value available
2013-01-14,2.3622,
2013-01-15,2.3623,
2013-01-16,2.3500,
2013-01-17,2.3499,
2013-01-18,2.3460,
2013-01-19,.,No value available
2013-01-20,.,No value available
2013-01-21,2.3500,
2013-01-22,2.3593,
2013-01-23,2.3591,
2013-01-24,2.3661,
2013-01-25,2.3787,
2013-01-26,.,No value available
2013-01-27,.,No value available
2013-01-28,2.3734,
2013-01-29,2.3805,
2013-01-30,2.3959,
2013-01-31,2.3876,
2013-02-01,2.3936,
2013-02-02,.,No value available
2013-02-03,.,No value available
2013-02-04,2.3790,
2013-02-05,2.3837,
2013-02-06,2.3858,
2013-02-07,2.3940,
2013-02-08,2.3707,
2013-02-09,.,No value available
2013-02-10,.,No value available
2013-02-11,2.3744,
2013-02-12,2.3859,
2013-02-13,2.3788,
2013-02-14,2.3605,
2013-02-15,2.3572,
2013-02-16,.,No value available
2013-02-17,.,No value available
2013-02-18,2.3587,
2013-02-19,2.3720,
2013-02-20,2.3792,
2013-02-21,2.3656,
2013-02-22,2.3639,
2013-02-23,.,No value available
2013-02-24,.,No value available
2013-02-25,2.3879,
2013-02-26,2.3637,
2013-02-27,2.3640,
2013-02-28,2.3580,
2013-03-01,2.3457,
2013-03-02,.,No value available
2013-03-03,.,No value available
2013-03-04,2.3444,
2013-03-05,2.3391,
2013-03-06,2.3365,
2013-03-07,2.3407,
2013-03-08,2.3490,
2013-03-09,.,No value available
2013-03-10,.,No value available
2013-03-11,2.3438,
2013-03-12,2.3517,
2013-03-13,2.3510,
2013-03-14,2.3456,
2013-03-15,2.3666,
2013-03-16,.,No value available
2013-03-17,.,No value available
2013-03-18,2.3466,
2013-03-19,2.3509,
2013-03-20,2.3560,
2013-03-21,2.3425,
2013-03-22,2.3558,
2013-03-23,.,No value available
2013-03-24,.,No value available
2013-03-25,2.3528,
2013-03-26,2.3386,
2013-03-27,2.3271,
2013-03-28,2.3212,
2013-03-29,.,No value available
2013-03-30,.,No value available
2013-03-31,.,No value available
2013-04-01,.,No value available
2013-04-02,2.3170,
2013-04-03,2.3205,
2013-04-04,2.3176,
